"","X","Gene_symbol",".T0.s1",".T0.s2",".T0.s3",".T96.s4",".T96.s5",".T96.s6"
"11913",11913,"Pcdh10",8.649181581,14.92544737,11.65414403,13.3658645,28.44374789,15.22344249
"11914",11914,"Pcdh11x",10.57122193,10.2121482,12.6253227,17.01110027,12.64166573,17.25323482
"11915",11915,"Pcdh12",16.33734299,33.77864404,15.53885871,34.02220055,35.8180529,26.38730032
"11916",11916,"Pcdh15",18.25938334,13.35434764,11.65414403,24.30157182,35.8180529,42.62563897
"11917",11917,"Pcdh17",5.766121054,4.713299169,1.942357338,8.505550137,2.106944288,5.07448083
"11918",11918,"Pcdh7",3.844080703,0,3.884714677,7.290471546,8.427777152,5.07448083
"11919",11919,"Pcdh8",13.45428246,3.142199446,0.971178669,14.58094309,6.320832864,9.134065494
"11920",11920,"Pcdh9",2.883060527,12.56879778,5.827072015,9.720628728,15.80208216,10.14896166
"11921",11921,"Pcdha1",69.19345265,45.56189196,33.02007475,71.68963687,66.36874507,69.01293929
"11922",11922,"Pcdha10",30.75264562,18.85319667,17.48121605,53.46345801,34.76458075,51.75970447
"11923",11923,"Pcdha11",16.33734299,30.6364446,5.827072015,34.02220055,31.60416432,32.47667731
"11924",11924,"Pcdha12",16.33734299,29.06534487,5.827072015,29.16188618,40.03194147,27.40219648
"11925",11925,"Pcdha2",12.49326228,3.927749307,5.827072015,26.731729,23.17638717,32.47667731
"11926",11926,"Pcdha3",0,13.35434764,2.913536008,6.075392955,13.69513787,19.28302715
"11927",11927,"Pcdha4",0.961020176,3.927749307,0,10.93570732,14.74861002,23.34261182
"11928",11928,"Pcdha5",0,4.713299169,2.913536008,26.731729,3.160416432,20.29792332
"11929",11929,"Pcdha6",12.49326228,5.49884903,20.39475205,13.3658645,16.8555543,7.104273162
"11930",11930,"Pcdha7",0,3.927749307,5.827072015,15.79602168,12.64166573,3.044688498
"11931",11931,"Pcdha8",169.1395509,184.6042174,197.1492699,245.4458754,260.2076196,258.7985223
"11932",11932,"Pcdha9",318.0976782,338.5719903,305.9212808,396.1156207,415.0680247,314.6178115
"11933",11933,"Pcdhac1",16.33734299,17.28209695,26.22182407,25.51665041,33.71110861,16.23833866
"11934",11934,"Pcdhac2",616.0139326,638.6520373,721.5857512,528.5591871,607.8534271,578.4908146
"11935",11935,"Pcdhb10",41.32386755,47.91854155,33.99125342,20.65633605,31.60416432,19.28302715
"11936",11936,"Pcdhb11",107.6342597,134.3290263,117.512619,93.56105151,99.02638154,91.34065494
"11937",11937,"Pcdhb12",26.90856492,25.92314543,20.39475205,46.17298646,67.42221722,30.44688498
"11938",11938,"Pcdhb13",9.610201757,15.71099723,13.59650137,27.94680759,17.90902645,27.40219648
"11939",11939,"Pcdhb14",12.49326228,19.63874654,12.6253227,32.80712196,38.97846933,46.68522364
"11940",11940,"Pcdhb15",16.33734299,3.142199446,7.769429354,34.02220055,44.24583005,17.25323482
"11941",11941,"Pcdhb16",34.59672632,23.56649584,14.56768004,34.02220055,24.22985931,34.50646965
"11942",11942,"Pcdhb17",57.66121054,67.55728808,64.09779217,83.84042278,84.27777152,99.45982427
"11943",11943,"Pcdhb18",13.45428246,19.63874654,16.51003738,21.87141464,27.39027574,23.34261182
"11944",11944,"Pcdhb19",62.46631142,80.91163573,69.92486418,147.0245095,152.7534609,117.7279553
"11945",11945,"Pcdhb2",26.90856492,36.92084349,35.93361076,17.01110027,23.17638717,13.19365016
"11946",11946,"Pcdhb20",109.5563,137.4712258,113.6279043,93.56105151,77.95693866,76.11721245
"11947",11947,"Pcdhb21",30.75264562,51.06074099,24.27946673,36.45235773,53.72707934,43.64053514
"11948",11948,"Pcdhb22",44.20692808,47.13299169,97.11786692,43.74282928,60.04791221,28.41709265
"11949",11949,"Pcdhb3",22.10346404,40.06304293,13.59650137,36.45235773,31.60416432,35.52136581
"11950",11950,"Pcdhb4",66.31039212,57.34513988,58.27072015,49.81822223,29.49722003,28.41709265
"11951",11951,"Pcdhb5",65.34937195,69.12838781,68.95368551,36.45235773,32.65763646,43.64053514
"11952",11952,"Pcdhb6",46.12896843,44.7763421,60.21307749,43.74282928,42.13888576,40.59584664
"11953",11953,"Pcdhb7",18.25938334,25.13759557,21.36593072,23.08649323,47.40624648,31.46178115
"11954",11954,"Pcdhb8",5.766121054,18.06764681,5.827072015,18.22617887,12.64166573,11.16385783
"11955",11955,"Pcdhb9",18.25938334,14.13989751,20.39475205,25.51665041,17.90902645,16.23833866
"11956",11956,"Pcdhga1",7.688161405,3.927749307,3.884714677,3.645235773,3.160416432,6.089376996
"11957",11957,"Pcdhga10",21.14244386,10.99769806,20.39475205,31.59204337,57.94096792,25.37240415
"11958",11958,"Pcdhga11",36.51876668,18.85319667,27.19300274,51.03330082,58.99444006,34.50646965
"11959",11959,"Pcdhga12",17.29836316,10.99769806,8.740608023,27.94680759,51.62013506,17.25323482
"11960",11960,"Pcdhga2",7.688161405,5.49884903,18.45239472,12.15078591,7.374305008,7.104273162
"11961",11961,"Pcdhga3",4.805100878,24.3520457,9.711786692,12.15078591,29.49722003,16.23833866
"11962",11962,"Pcdhga4",39.4018272,34.5641939,37.8759681,38.88251491,34.76458075,31.46178115
"11963",11963,"Pcdhga5",45.16794826,53.41739058,26.22182407,68.0444011,55.83402363,31.46178115
"11964",11964,"Pcdhga6",46.12896843,29.06534487,44.67421878,42.52775069,34.76458075,28.41709265
"11965",11965,"Pcdhga7",46.12896843,35.34974376,40.78950411,78.98010842,40.03194147,35.52136581
"11966",11966,"Pcdhga8",30.75264562,20.4242964,13.59650137,61.96900814,58.99444006,26.38730032
"11967",11967,"Pcdhga9",10.57122193,13.35434764,31.07771741,34.02220055,16.8555543,15.22344249
"11968",11968,"Pcdhgb1",706.3498291,611.9433421,617.6696336,896.7280002,830.1360495,948.9279153
"11969",11969,"Pcdhgb2",47.08998861,68.34283794,122.3685123,100.8515231,112.7215194,90.32575878
"11970",11970,"Pcdhgb4",14.41530264,32.20754432,32.04889608,52.24837941,38.97846933,29.43198882
"11971",11971,"Pcdhgb5",7.688161405,12.56879778,16.51003738,29.16188618,36.87152504,26.38730032
"11972",11972,"Pcdhgb6",23.06448422,10.2121482,20.39475205,38.88251491,40.03194147,19.28302715
"11973",11973,"Pcdhgb7",24.98652457,15.71099723,11.65414403,37.66743632,28.44374789,40.59584664
"11974",11974,"Pcdhgb8",24.98652457,41.63414266,33.02007475,75.33487264,34.76458075,37.55115814
"11975",11975,"Pcdhgc3",746.7126765,754.9134168,638.0643857,558.9361519,683.7034215,608.9376996
