gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,.T0.s1,.T0.s2,.T0.s3,.T96.s4,.T96.s5,.T96.s6
ENSG00000179588,ZFPM1,706.7285987,-1.275791679,0.159997117,-7.973841674,1.54E-15,2.43E-13,971.4169106,1046.179845,982.9969348,396.7810871,402.0941038,440.9027107
ENSG00000146676,PURB,829.2405905,-1.479497021,0.186360918,-7.938880297,2.04E-15,3.19E-13,1182.684554,1165.838223,1313.107846,363.7159965,430.0029491,520.0939743
ENSG00000108424,KPNB1,5028.016901,-1.268332134,0.160213729,-7.916500906,2.44E-15,3.80E-13,7356.049377,6635.223243,7326.366281,2506.333867,2993.482068,3350.646571
ENSG00000064666,CNN2,63.59936806,-3.110712775,0.393468805,-7.905868856,2.66E-15,4.10E-13,122.2038331,101.3772368,118.4207395,12.28131936,14.47125309,12.84182653
ENSG00000078549,ADCYAP1R1,143.6808401,-2.08006751,0.263599063,-7.89102772,3.00E-15,4.59E-13,257.8708004,206.9092783,232.6495944,60.46187994,49.61572489,54.57776274
ENSG00000238363,SNORA13,95.39938986,2.557362574,0.324263092,7.886690268,3.10E-15,4.71E-13,20.71251408,30.74555542,31.43913438,149.2652661,183.9916465,156.2422227
ENSG00000172432,GTPBP2,225.2683191,2.091977601,0.265420596,7.881745555,3.23E-15,4.87E-13,101.491319,93.06762721,61.8302976,304.1988335,358.6803445,432.341493
ENSG00000246705,H2AJ,2286.815584,-1.44675323,0.183933563,-7.865629329,3.67E-15,5.49E-13,3018.848928,3391.982627,3627.028136,997.621019,1474.000494,1211.412302
ENSG00000114302,PRKAR2A,673.7020167,-1.43176898,0.183503654,-7.802400363,6.07E-15,9.02E-13,1027.340699,921.5357016,999.7644731,306.0882672,367.9832929,419.4996665
ENSG00000113163,CERT1,537.9061528,-1.322790497,0.170479296,-7.759244271,8.54E-15,1.26E-12,743.5792556,768.6388854,793.3141574,286.2492128,333.8724821,301.7829234
ENSG00000204186,ZDBF2,471.8686422,-1.346967005,0.173653941,-7.756616374,8.72E-15,1.28E-12,684.5485905,633.1922494,714.7163215,261.6865741,277.0211306,260.0469871
ENSG00000275529,SNORD116-4,1849.379064,1.923743386,0.248059741,7.755161632,8.82E-15,1.28E-12,609.9835398,813.5107771,890.775474,1923.443556,3790.43465,3068.126387
ENSG00000254341,SNORD87,1344.247979,1.826825569,0.235597386,7.754014602,8.90E-15,1.28E-12,517.8128521,580.8417091,674.8934179,1469.979456,2792.951847,2029.008591
ENSG00000136040,PLXNC1,494.0284889,1.618090501,0.210339772,7.692746308,1.44E-14,2.06E-12,198.8401352,283.3576864,245.2252481,635.7944563,757.6734655,843.2799419
ENSG00000196365,LONP1,667.3964317,1.517255533,0.197323136,7.689192274,1.48E-14,2.11E-12,385.252762,343.1868753,308.1035169,826.6272648,974.7422619,1166.465909
ENSG00000209480,SNORD83B,410.6576885,2.122298507,0.276445476,7.677096172,1.63E-14,2.30E-12,120.1325817,167.8541134,171.8672679,442.1274971,892.0493871,669.9152838
ENSG00000271798,SNORA51,89.31048307,2.590766105,0.34111248,7.595049307,3.08E-14,4.32E-12,23.8193912,29.0836335,23.05536521,118.0896093,169.5203934,172.2945059
ENSG00000115241,PPM1G,1280.021735,-1.169560782,0.154339913,-7.577824548,3.51E-14,4.90E-12,1816.487485,1723.413025,1776.311092,709.4823724,788.6832936,865.7531383
ENSG00000143061,IGSF3,281.6003254,-1.620706461,0.214038023,-7.572049298,3.67E-14,5.08E-12,415.2859074,375.5943527,484.1626694,126.5920611,148.8471747,139.1197874
ENSG00000277027,RMRP,29650.50205,1.646065152,0.217466048,7.569297222,3.75E-14,5.16E-12,12071.25321,12628.94463,18378.26998,34388.63893,53655.27183,46780.63373
ENSG00000166436,TRIM66,256.694736,2.071787982,0.274799741,7.539264671,4.73E-14,6.41E-12,67.31567077,127.1370265,100.60523,341.0427915,490.9889442,413.0787533
ENSG00000200558,RNA5SP429,573.3351466,2.2442429,0.297668365,7.539406814,4.72E-14,6.41E-12,147.05885,210.2331222,242.0813347,674.5278481,1421.283786,744.8259385
ENSG00000115738,ID2,203.5586232,-1.698944803,0.225901326,-7.520738504,5.45E-14,7.33E-12,331.4002254,302.4697884,299.7197477,89.74810304,89.92850137,108.0853733
ENSG00000068366,ACSL4,2286.466721,-1.285572888,0.171258765,-7.50661075,6.07E-14,8.12E-12,3386.496053,3066.245932,3274.909831,1094.926857,1353.062164,1543.159488
ENSG00000134107,BHLHE40,183.5928652,1.815025899,0.244292851,7.429713521,1.09E-13,1.45E-11,74.5650507,78.11032998,91.17348969,253.1841223,275.9874697,328.5367286
