"","gene"
"532","FUN_023666_HELZ2_2"
"533","FUN_028378_ETV5_3"
"534","FUN_010901_UQCRFS1_2"
"535","FUN_036354_ZHX3"
"536","FUN_004326_hypothetical_protein"
"537","FUN_022142_hypothetical_protein"
"538","FUN_057381_hypothetical_protein"
"539","FUN_018327_hypothetical_protein"
"540","FUN_001185_STX19"
"541","FUN_029511_MACO1A"
"542","FUN_040643_hypothetical_protein"
"543","FUN_001749_ACVR1_1"
"544","FUN_018455_SLC1A7_1"
"545","FUN_004630_MCM2"
"546","FUN_046037_HIATL1"
"547","FUN_003331_CNTNAP5_3"
"548","FUN_025701_hypothetical_protein"
"549","FUN_057433_AP3M2"
"550","FUN_046406_hypothetical_protein"
"551","FUN_039349_THY1"
"552","FUN_054802_SLC5A6_2"
"553","FUN_038392_hypothetical_protein"
"554","FUN_018858_MALRD1_1"
"555","FUN_056711_hypothetical_protein"
"556","FUN_052567_hypothetical_protein"
"557","FUN_046188_GID8_3"
"558","FUN_028940_hypothetical_protein"
"559","FUN_022430_LIM2_2"
"560","FUN_046162_IQSEC2_1"
"561","FUN_000886_SEC22A"
"562","FUN_012909_DDX43_2"
"563","FUN_035866_ACTL6A"
"564","FUN_030454_AK7_1"
"565","FUN_023999_hypothetical_protein"
"566","FUN_031655_TULP4"
"567","FUN_040989_PPM1H_5"
"568","FUN_003321_hypothetical_protein"
"569","FUN_019512_ZCCHC14"
"570","FUN_002378_cspg4_1"
"571","FUN_034095_LSM10"
"572","FUN_036590_SGK1_4"
"573","FUN_008351_hypothetical_protein"
"574","FUN_005247_hypothetical_protein"
"575","FUN_046045_hypothetical_protein"
"576","FUN_009051_ADAMTS18_2"
"577","FUN_051878_hypothetical_protein"
"578","FUN_046118_SMARCAD1_2"
"579","FUN_007315_IFT70A_1"
"580","FUN_004273_KCNAB2_1"
"581","FUN_059919_hypothetical_protein"
"582","FUN_031901_SDC1"
"583","FUN_015162_WDR48_1"
"584","FUN_005232_RAPGEF2_2"
"585","FUN_043728_CNPY1_1"
"586","FUN_021323_LRRC25"
"587","FUN_004265_NAB2"
"588","FUN_017683_hypothetical_protein"
"589","FUN_049619_hypothetical_protein"
"590","FUN_049411_hypothetical_protein"
"591","FUN_056844_PLXND1_3"
"592","FUN_046643_hypothetical_protein"
"593","FUN_033609_hypothetical_protein"
"594","FUN_037182_POFUT1"
"595","FUN_026280_TCEB2_2"
"596","FUN_046617_FNBP1_3"
"597","FUN_020851_hypothetical_protein"
"598","FUN_008373_ccdc24_2"
"599","FUN_031414_EGR2"
"600","FUN_051364_HRSP12"
"601","FUN_056303_GLT1D1_1"
"602","FUN_019868_CHORDC1_1"
"603","FUN_049155_ARHGAP31"
"604","FUN_025055_hypothetical_protein"
"605","FUN_000878_STAM2"
"606","FUN_056431_gpat2_2"
"607","FUN_028664_ERCC3"
"608","FUN_001751_ACVR1_4"
"609","FUN_019549_VPS4A"
"610","FUN_024140_hypothetical_protein"
"611","FUN_015315_ALDH5A1"
"612","FUN_050438_hypothetical_protein"
"613","FUN_004307_DNAJC11"
"614","FUN_035019_PDZRN3"
"615","FUN_040364_hypothetical_protein"
"616","FUN_011563_RDH12_1"
"617","FUN_015038_NRP1A_1"
"618","FUN_022336_MCCC1"
"619","FUN_037809_TUBA1A_10"
"620","FUN_008075_hypothetical_protein"
"621","FUN_035179_NAV1_1"
"622","FUN_059996_hypothetical_protein"
"623","FUN_026902_MSH2"
"624","FUN_012735_CNNM1_3"
"625","FUN_036958_ERRFI1_2"
"626","FUN_028645_VPS16"
"627","FUN_040609_CECR1_4"
