"","gene"
"472","FUN_043024_PRPF38B_3"
"473","FUN_043090_URB1_4"
"474","FUN_011145_WDR59_2"
"475","FUN_055562_hypothetical_protein"
"476","FUN_027688_WFIKKN2_2"
"477","FUN_014598_COX6B1_1"
"478","FUN_021057_RAP1GAP2_1"
"479","FUN_014249_AGAP3_2"
"480","FUN_060111_COL4A6"
"481","FUN_020656_hypothetical_protein"
"482","FUN_057888_hypothetical_protein"
"483","FUN_027267_osbpl7"
"484","FUN_048927_MFAP4_12"
"485","FUN_017092_CLDN1_2"
"486","FUN_003213_ABI3BP_3"
"487","FUN_022151_hypothetical_protein"
"488","FUN_002412_RIOK2"
"489","FUN_007387_RAB40C_2"
"490","FUN_006882_hypothetical_protein"
"491","FUN_016309_hypothetical_protein"
"492","FUN_038051_hypothetical_protein"
"493","FUN_012517_hypothetical_protein"
"494","FUN_058074_hypothetical_protein"
"495","FUN_059479_hypothetical_protein"
"496","FUN_020872_PKN2_1"
"497","FUN_014305_ccr10_2"
"498","FUN_048341_METAP1D"
"499","FUN_050807_GRHL2_6"
"500","FUN_037954_CBLN4_1"
"501","FUN_029870_MYH9_29"
"502","FUN_016071_CCDC12"
"503","FUN_000038_hypothetical_protein"
"504","FUN_002016_CERT1"
"505","FUN_029949_TMEM66"
"506","FUN_040068_DOCK6_2"
"507","FUN_017065_hypothetical_protein"
"508","FUN_000069_DARS1"
"509","FUN_005062_ADH5"
"510","FUN_016075_NBEAL2_2"
"511","FUN_037858_MAGI3_3"
"512","FUN_002867_ILDR1_2"
"513","FUN_007990_MSL1_1"
"514","FUN_003052_R3HDM1_2"
"515","FUN_013947_PDCD4_5"
"516","FUN_025196_TOR4A"
"517","FUN_043855_hypothetical_protein"
"518","FUN_021392_ST5"
"519","FUN_038431_hypothetical_protein"
"520","FUN_043336_hypothetical_protein"
"521","FUN_045769_hypothetical_protein"
"522","FUN_052588_P2RY1"
"523","FUN_039197_hypothetical_protein"
"524","FUN_019118_hypothetical_protein"
"525","FUN_015219_TWSG1A"
"526","FUN_015732_hypothetical_protein"
"527","FUN_014504_RMC1_1"
"528","FUN_010643_IL34"
"529","FUN_024993_SMAD9_1"
"530","FUN_026110_hypothetical_protein"
"531","FUN_000011_TMEM41A_1"
"532","FUN_060213_nhsl1"
"533","FUN_032148_hypothetical_protein"
"534","FUN_010879_FGD4"
"535","FUN_046215_NT5DC2_2"
"536","FUN_045377_hypothetical_protein"
"537","FUN_028268_USP9X_2"
