gene_id,Gene_symbol,.T0.s1,.T0.s2,.T0.s3,.T96.s4,.T96.s5,.T96.s6
g17257,Zc3h7b,3475.048955,3302.451617,3791.481525,2679.248293,2647.375498,2672.221605
g17258,Zc3h8,73.99855353,66.77173822,71.86722152,54.6785366,47.40624648,63.93845846
g17259,Zc3hav1,1634.695319,1766.701638,1652.946095,2114.236748,2064.805402,2094.745687
g17260,Zc3hav1l,535.2882379,439.9079224,518.6094094,458.0846288,470.9020484,421.1819089
g17261,Zc3hc1,340.2011422,333.0731412,376.8173237,303.7696478,265.4749803,326.7965655
g17262,Zc4h2,68.23243247,55.77404016,45.64539745,30.37696478,30.55069218,48.71501597
g17263,Zcchc10,295.9942141,293.0100983,249.592918,176.1863957,214.9083174,175.5770367
g17264,Zcchc12,108.5952799,95.83708309,107.8008323,155.5300597,156.9673495,192.8302715
g17265,Zcchc14,2613.974878,2724.286919,3009.682696,1961.136846,1833.041531,1832.902476
g17266,Zcchc17,1681.785307,2215.250609,1611.185412,2031.611404,2822.251874,1815.649241
g17267,Zcchc18,268.124629,249.0193061,276.7859207,311.0601193,262.3145639,292.2900958
g17268,Zcchc2,1009.071184,933.2332354,1009.054637,980.568423,826.975633,904.272484
g17269,Zcchc24,3.844080703,12.56879778,10.68296536,26.731729,13.69513787,22.32771565
g17270,Zcchc4,193.1650553,151.6111233,111.685547,115.4324661,104.2937423,155.2791134
g17271,Zcchc7,441.1082606,365.2806856,392.3561824,302.5545692,328.6833089,302.4390575
g17272,Zcchc8,248.9042255,246.6626565,294.2671368,167.6808456,152.7534609,158.3238019
g17273,Zcchc9,453.6015229,410.0570277,473.9351906,321.9958266,276.0097017,335.930631
g17274,Zcrb1,1571.267987,1500.400235,1614.098948,1396.125301,1346.3374,1428.973802
g17275,Zcwpw1,10.57122193,6.284398891,4.855893346,20.65633605,30.55069218,18.26813099
g17276,Zcwpw2,0,4.713299169,0,6.075392955,4.213888576,1.014896166
g17277,Zdbf2,5857.417971,5824.852223,5561.940239,2426.511946,2377.686629,2032.837021
g17278,Zdhhc1,27.86958509,22.78094598,27.19300274,60.75392955,83.22429938,84.23638178
g17279,Zdhhc12,191.243015,202.6718642,203.9475205,185.9070244,162.2347102,162.3833866
g17280,Zdhhc13,207.5803579,192.4597161,180.6392325,210.2085962,184.3576252,240.5303914
g17281,Zdhhc14,0.961020176,1.571099723,1.942357338,3.645235773,1.053472144,3.044688498
g17282,Zdhhc15,184.5158737,175.1776191,158.3021231,142.1641952,133.7909623,129.9067093
g17283,Zdhhc16,207.5803579,215.240662,258.333526,191.9824174,172.7694316,184.7111022
g17284,Zdhhc17,683.2853449,654.3630346,585.6207375,489.6766722,500.3992684,454.6734824
g17285,Zdhhc18,344.0452229,219.9539612,200.0628059,196.8427317,201.2131795,209.0686102
g17286,Zdhhc2,937.9556915,962.2985803,919.7061997,648.8519676,642.6180078,670.8463658
g17287,Zdhhc20,426.692958,442.264572,371.9614303,377.8894418,338.1645582,353.1838658
g17288,Zdhhc21,518.9508949,593.8756952,587.5630949,579.5924879,503.5596848,514.5523562
g17289,Zdhhc22,19.22040351,8.641048476,1.942357338,29.16188618,23.17638717,31.46178115
g17290,Zdhhc23,69.19345265,65.2006385,59.24189882,103.2816802,64.26180078,77.13210862
g17291,Zdhhc24,72.07651318,80.12608587,97.11786692,99.63644446,108.5076308,123.8173323
g17292,Zdhhc25,1.922040351,2.356649584,4.855893346,0,3.160416432,4.059584664
g17293,Zdhhc3,636.1953563,581.3068975,631.266135,492.1068294,517.2548227,481.0607827
g17294,Zdhhc4,211.4244386,190.8886163,235.9964166,227.2196965,211.7479009,220.232468
g17295,Zdhhc5,1685.629388,1721.925296,1930.703194,1532.214103,1416.920034,1490.882468
g17296,Zdhhc6,732.2973739,721.1347728,669.1421031,744.8431763,759.5534158,672.8761581
g17297,Zdhhc7,574.6900651,516.106259,571.0530575,318.3505909,361.3409454,354.198762
g17298,Zdhhc8,408.4335747,372.3506343,432.1745078,394.9005421,370.8221947,355.2136581
g17299,Zdhhc9,253.7093264,228.5950097,204.9186992,352.3727914,292.865256,315.6327076
g17300,Zeb1,1004.266084,849.9649501,825.5018688,1250.31587,1315.786708,1292.977716
g17301,Zeb2,3810.444997,3484.699185,4151.788811,2467.824618,2369.258852,2372.827236
g17302,Zeb2os,14.41530264,23.56649584,16.51003738,12.15078591,11.58819358,9.134065494
g17303,Zer1,295.9942141,287.5112493,282.6129927,351.1577128,294.9722003,306.4986421
g17304,Zf12,2.883060527,5.49884903,6.798250685,4.860314364,2.106944288,5.07448083
g17305,Zfa-ps,1.922040351,1.571099723,0.971178669,0,4.213888576,1.014896166
g17306,Zfand1,74.9595737,65.2006385,101.0025816,100.8515231,76.90346651,81.19169328
g17307,Zfand2a,323.8637992,300.8655969,331.1719262,537.0647372,501.4527405,501.358706
g17308,Zfand2b,107.6342597,93.48043351,108.772011,105.7118374,96.91943725,108.5938898
g17309,Zfand3,867.8012186,872.7458961,848.8101569,1014.590624,899.665211,896.1533146
g17310,Zfand4,45.16794826,53.41739058,34.96243209,86.27057996,64.26180078,85.25127795
g17311,Zfand5,837.048573,859.3915484,962.4380612,1077.77471,1138.803388,1145.817771
g17312,Zfand6,213.346479,218.3828615,178.6968751,213.853832,241.245121,175.5770367
g17313,Zfas1,186.4379141,214.4551122,231.1405233,295.2640976,281.2770624,316.6476038
g17314,Zfat,1421.34884,1229.385533,1444.142681,1763.079036,1938.388745,1667.474401
g17315,Zfc3h1,505.4966124,441.4790221,505.9840867,527.3441085,541.484682,549.0588258
g17316,Zfhx2,941.7997722,918.307788,925.5332718,1023.096174,1041.88395,898.183107
g17317,Zfhx2os,2.883060527,1.571099723,2.913536008,2.430157182,3.160416432,3.044688498
g17318,Zfhx3,2926.306435,3290.66837,2882.45829,2201.722407,2218.612335,2065.313698
g17319,Zfhx4,1729.836316,1615.876065,1634.4937,1370.608651,1385.315869,1336.618251
g17320,Zfp1,249.8652457,264.7303033,232.1117019,268.5323686,194.8923466,217.1877795
