baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name,.T0.s1,.T0.s2,.T0.s3,.T96.s4,.T96.s5,.T96.s6
22.64646602,0.117824031,0.523511036,0.225065038,0.821928679,0.886431517,1700030J22Rik,1700030J22Rik,22.10346404,26.70869529,16.51003738,8.505550137,31.60416432,30.44688498
24.2790944,0.849079262,0.510135194,1.664420081,0.09602851,0.176922367,1700030K09Rik,1700030K09Rik,27.86958509,11.78324792,12.6253227,20.65633605,46.35277434,26.38730032
29.76815754,0.82238329,0.408295318,2.014187413,0.043989861,0.092167472,1700034H15Rik,1700034H15Rik,23.06448422,17.28209695,24.27946673,42.52775069,38.97846933,32.47667731
2.943702993,-0.076681622,1.280086844,-0.059903453,0.95223253,0.971844483,1700034P13Rik,1700034P13Rik,4.805100878,2.356649584,1.942357338,2.430157182,1.053472144,5.07448083
6.409406958,0.03907514,0.948211645,0.041209301,0.967129038,0.980566621,1700037C18Rik,1700037C18Rik,7.688161405,10.2121482,0.971178669,7.290471546,3.160416432,9.134065494
19.54202891,-1.033477525,0.543073699,-1.90301524,0.057038557,0.114807281,1700039I01Rik,1700039I01Rik,21.14244386,36.92084349,20.39475205,18.22617887,7.374305008,13.19365016
3.364739391,0.553360132,1.331867681,0.415476808,0.67779289,0.782013572,1700040D17Rik,1700040D17Rik,0.961020176,7.069948753,0,4.860314364,5.26736072,2.029792332
16.64844295,1.04093668,0.699818632,1.48743779,0.136899222,0.236353954,1700042G15Rik,1700042G15Rik,0,14.13989751,18.45239472,21.87141464,21.06944288,24.35750799
266.7270371,-0.343244581,0.153602726,-2.234625586,0.02544194,0.057532803,1700048O20Rik,1700048O20Rik,303.6823755,289.082349,303.0077448,215.0689106,203.3201238,286.2007188
14.87858375,4.972600084,1.046890237,4.749877214,2.04E-06,9.65E-06,1700049E17Rik1,1700049E17Rik1,2.883060527,0,0,51.03330082,23.17638717,12.17875399
28.09486095,1.398865619,0.460716078,3.036285658,0.002395123,0.006958004,1700049E17Rik2,1700049E17Rik2,12.49326228,16.49654709,17.48121605,23.08649323,43.1923579,55.81928913
8.48759149,0.963058807,0.864514717,1.113987753,0.265284441,0.396579486,1700051A21Rik,1700051A21Rik,7.688161405,9.426598337,0,12.15078591,9.481249296,12.17875399
106.7042719,-0.00903255,0.229108733,-0.039424728,0.968551765,0.98160002,1700052K11Rik,1700052K11Rik,104.7511991,96.62263296,119.4549763,128.7983306,105.3472144,85.25127795
2.966512862,0.665268642,1.361743065,0.488541972,0.625166004,0.739930982,1700054M17Rik,1700054M17Rik,2.883060527,3.927749307,0,4.860314364,1.053472144,5.07448083
2.96445261,2.484657049,1.43575348,1.730559656,0.083530333,0.157906942,1700055D16Rik,1700055D16Rik,1.922040351,0.785549861,0,3.645235773,7.374305008,4.059584664
2.747106451,-0.958388305,1.479426635,-0.647810633,0.517107437,0.648446336,1700055D18Rik,1700055D18Rik,0,7.855498614,2.913536008,3.645235773,1.053472144,1.014896166
8.851557422,0.686172942,0.774260913,0.886229603,0.375493815,0.515860638,1700056E22Rik,1700056E22Rik,1.922040351,8.641048476,9.711786692,12.15078591,10.53472144,10.14896166
74.35330216,0.07106443,0.260145989,0.273171347,0.784721504,0.860964344,1700066M21Rik,1700066M21Rik,72.07651318,80.91163573,64.09779217,87.48565855,68.47568936,73.07252396
6.569549957,0.398623759,0.881595139,0.452161929,0.651152332,0.759783367,1700067K01Rik,1700067K01Rik,7.688161405,6.284398891,2.913536008,12.15078591,6.320832864,4.059584664
11.40866918,0.970197886,0.676724327,1.433667814,0.151667081,0.256297983,1700071G01Rik,1700071G01Rik,8.649181581,3.927749307,10.68296536,18.22617887,15.80208216,11.16385783
4.943973716,1.152923709,1.002795133,1.149710116,0.250263287,0.379416708,1700072B07Rik,1700072B07Rik,2.883060527,1.571099723,4.855893346,4.860314364,7.374305008,8.119169328
