baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name
181.7011133,-0.250482725,0.169218146,-1.480235606,0.138810381,0.239015152,2310061I04Rik,2310061I04Rik
4.681875383,0.455452604,1.081659113,0.421068523,0.673705046,0.77889336,2310065F04Rik,2310065F04Rik
130.3906826,-0.821704823,0.204680369,-4.01457563,5.96E-05,0.000231745,2310067E19Rik,2310067E19Rik
12.0004274,-0.415290415,0.659060901,-0.63012449,0.528613138,0.658239519,2310068J16Rik,2310068J16Rik
11.07124146,-0.504714416,0.710105895,-0.710759367,0.477233364,0.612663031,2310075K07Rik,2310075K07Rik
467.3308809,0.411930803,0.105358253,3.909810494,9.24E-05,0.000349926,2410002F23Rik,2410002F23Rik
173.0780735,-0.262558036,0.173322666,-1.514851132,0.129810108,0.226218817,2410004B18Rik,2410004B18Rik
2.252432995,-0.10739317,1.514969063,-0.070888028,0.943486871,0.966767406,2410004I01Rik,2410004I01Rik
671.5695862,1.240229985,0.100497286,12.34093011,5.45E-35,1.47E-33,2410006H16Rik,2410006H16Rik
4.741192153,-2.078031427,1.141000492,-1.821236224,0.068570956,0.134076731,2410012E07Rik,2410012E07Rik
9.686559235,1.276096147,0.758440515,1.682526344,0.092466821,0.171726827,2410022M11Rik,2410022M11Rik
7.953443622,0.701124918,0.786521527,0.891424957,0.372701234,0.513033728,2410080I02Rik,2410080I02Rik
8.394033978,1.019824852,0.812475302,1.255207204,0.209403551,0.329937724,2500002B13Rik,2500002B13Rik
13.23310446,-0.163486644,0.640913857,-0.255083647,0.798658495,0.870153362,2500004C02Rik,2500004C02Rik
35.65173339,-0.65026054,0.372986606,-1.743388446,0.081265785,0.154704597,2510002D24Rik,2510002D24Rik
5.178994361,1.422779769,1.048079732,1.357511003,0.1746189,0.286592407,2510022D24Rik,2510022D24Rik
1353.600806,-0.019559742,0.070564646,-0.277188976,0.781635004,0.858656749,2510039O18Rik,2510039O18Rik
2.516080402,-0.201743665,1.470672454,-0.137177836,0.890890229,0.932456202,2600006K01Rik,2600006K01Rik
1697.847175,0.710489799,0.063415479,11.20372842,3.91E-29,7.93E-28,2610005L07Rik,2610005L07Rik
185.1936493,-0.185648543,0.176153037,-1.053904865,0.291926475,0.426287883,2610008E11Rik,2610008E11Rik
8.994920718,0.253220372,0.819032921,0.309169956,0.757192247,0.841314065,2610020C07Rik,2610020C07Rik
7.115941188,0.02426268,0.920420085,0.026360442,0.978969846,0.987614768,2610024D14Rik,2610024D14Rik
5.573250046,0.298068151,0.931698111,0.31991924,0.749029553,0.835376879,2610027K06Rik,2610027K06Rik
16.00400234,-0.763021462,0.587203336,-1.299416089,0.193801173,0.310912021,2610028E06Rik,2610028E06Rik
9.00623361,-0.106465525,0.852426168,-0.124897064,0.900605043,0.939022463,2610029K11Rik,2610029K11Rik
10.73133922,0.815784837,0.723196872,1.128025948,0.259308961,0.389794485,2610035D17Rik,2610035D17Rik
3.273725608,3.393135398,1.579955577,2.147614431,0.031744398,0.069654888,2610037D02Rik,2610037D02Rik
9.583521878,-0.239440336,0.748942474,-0.319704575,0.749192291,0.835451604,2610042L04Rik,2610042L04Rik
19.5724095,1.409750119,0.512817649,2.749028081,0.005977227,0.0159658,2610203C22Rik,2610203C22Rik
22.23316721,-0.840122696,0.518225908,-1.621151476,0.104985157,0.190231098,2610306M01Rik,2610306M01Rik
16.81207861,1.275169119,0.589536683,2.163002159,0.030541014,0.06737011,2610307P16Rik,2610307P16Rik
170.931732,0.485788201,0.192404118,2.524832661,0.011575339,0.028719285,2610318N02Rik,2610318N02Rik
2.638043391,2.984868842,1.604184761,1.860676473,0.062789878,0.124615845,2610507I01Rik,2610507I01Rik
25.49301239,-0.888086595,0.464001067,-1.91397533,0.055623308,0.112568831,2700038G22Rik,2700038G22Rik
370.310224,-0.460545172,0.129186708,-3.564957878,0.000363915,0.001246843,2700049A03Rik,2700049A03Rik
43.54479516,0.353077563,0.378872402,0.931916817,0.351379516,0.490845742,2700054A10Rik,2700054A10Rik
53.47332891,-0.465783004,0.322620747,-1.443747831,0.148809921,0.252570219,2700062C07Rik,2700062C07Rik
46.75856046,-0.713362807,0.330693199,-2.157174112,0.030992101,0.068221522,2700070H01Rik,2700070H01Rik
56.52318959,-0.290020891,0.309549301,-0.936913411,0.3488031,0.488097504,2700097O09Rik,2700097O09Rik
197.3909448,0.60923731,0.158243113,3.850008375,0.000118114,0.000440573,2700099C18Rik,2700099C18Rik
76.06673922,0.054255063,0.264184193,0.205368315,0.837284373,0.897281356,2810001A02Rik,2810001A02Rik
37.72286873,-0.523097247,0.370146259,-1.413217704,0.157591723,0.26438992,2810001G20Rik,2810001G20Rik
10.45012303,-0.427779252,0.69566309,-0.614923026,0.538605556,0.666639442,2810002D19Rik,2810002D19Rik
1779.104563,0.151910158,0.05788071,2.624538597,0.008676646,0.022276184,2810004N23Rik,2810004N23Rik
38.92169951,-0.167231775,0.373654288,-0.447557489,0.654472589,0.762873846,2810013P06Rik,2810013P06Rik
57.6762271,-0.237683022,0.298719984,-0.795671649,0.42622291,0.565392448,2810021J22Rik,2810021J22Rik
400.4320421,-0.063119141,0.12990831,-0.485874549,0.627056114,0.741363661,2810025M15Rik,2810025M15Rik
5.406983827,0.762528499,0.972962537,0.783718252,0.43320545,0.572089492,2810029C07Rik,2810029C07Rik
28.91928224,0.728507394,0.429305664,1.696943355,0.08970737,0.167378954,2810032G03Rik,2810032G03Rik
6.484129032,0.860494292,0.878528807,0.979471914,0.327346859,0.465584283,2810039B14Rik,2810039B14Rik
33.56198322,1.343038555,1.416945901,0.94784039,0.343210715,0.48247211,2810047C21Rik1,2810047C21Rik1
5.784694633,-0.881959081,0.998131554,-0.883610058,0.376906747,0.516907825,2810405F17Rik,2810405F17Rik
21.44942412,1.273537519,0.541759371,2.350743867,0.018735926,0.043898257,2810408A11Rik,2810408A11Rik
82.79266493,0.463061644,0.270476565,1.712021312,0.086892741,0.16303365,2810408B13Rik,2810408B13Rik
25.51865233,-0.0720774,0.453216515,-0.159035246,0.873641105,0.921487092,2810408I11Rik,2810408I11Rik
7.840347958,3.673657063,1.066370737,3.445009259,0.00057104,0.001885782,2810414N06Rik,2810414N06Rik
18.98392361,0.089920272,0.536429366,0.167627423,0.866876396,0.917432433,2810429I04Rik,2810429I04Rik
13.15876511,0.611984928,0.626819243,0.976333983,0.328898985,0.467144692,2810449D17Rik,2810449D17Rik
6.5903117,0.279800878,0.855414327,0.327093982,0.743596803,0.831175736,2810454H06Rik,2810454H06Rik
2.573837257,-0.957232158,1.455982444,-0.657447597,0.510893156,0.642870818,2900009J06Rik,2900009J06Rik
725.0619649,0.320638246,0.091820196,3.492023111,0.000479377,0.001604291,2900026A02Rik,2900026A02Rik
7.053601954,0.519776836,0.94231219,0.551597274,0.581224304,0.703816539,2900041M22Rik,2900041M22Rik
68.08430425,0.36267125,0.306182321,1.184494419,0.236217404,0.363169693,2900052L18Rik,2900052L18Rik
42.56527859,2.394152794,0.38875137,6.158570691,7.34E-10,4.98E-09,2900060B14Rik,2900060B14Rik
18.02167823,1.044264113,0.568932155,1.835480915,0.066434464,0.130704623,2900076A07Rik,2900076A07Rik
3.064799621,1.693712114,1.330850917,1.272653527,0.203141015,0.322281624,2900093K20Rik,2900093K20Rik
7.443632008,-1.472949001,0.920350731,-1.600421395,0.109505132,0.196665267,3000002C10Rik,3000002C10Rik
3.325819266,0.799674389,1.36936442,0.583974855,0.559237229,0.685178474,3010001F23Rik,3010001F23Rik
32.39093799,0.733019855,0.469402569,1.561601711,0.118381846,0.209843425,3010003L21Rik,3010003L21Rik
4.013548676,2.492214099,1.210880932,2.058182628,0.039572606,0.084213334,3110006O06Rik,3110006O06Rik
16.06598565,0.621185382,0.615889057,1.008599479,0.313166757,0.449581468,3110009E18Rik,3110009E18Rik
2.915277661,0.4988159,1.38313004,0.360642807,0.718366485,0.81229171,3110021A11Rik,3110021A11Rik
78.39595803,-0.215942651,0.245981133,-0.877882986,0.380007223,0.520096147,3110040N11Rik,3110040N11Rik
53.09835531,0.711196338,0.334403972,2.126758043,0.033440192,0.072881078,3110053B16Rik,3110053B16Rik
12.54820208,0.023739021,0.635968638,0.037327345,0.970224003,0.982578254,3110056K07Rik,3110056K07Rik
13.15207607,2.697691661,0.770670274,3.500448572,0.000464476,0.001557327,3110067G11Rik,3110067G11Rik
9.03974233,-0.784162274,0.746863959,-1.049939905,0.293745743,0.428381494,3110070M22Rik,3110070M22Rik
505.8442321,-0.637829765,0.110770903,-5.758098471,8.51E-09,5.21E-08,3110082I17Rik,3110082I17Rik
2.155832318,0.034661975,1.444916939,0.023988905,0.980861459,0.988479428,3110083C13Rik,3110083C13Rik
18.09829068,-0.002501881,0.573113663,-0.004365419,0.996516911,0.997831878,3222401L13Rik,3222401L13Rik
270.8962716,0.088317008,0.14200379,0.62193416,0.533985162,0.66280087,3300002I08Rik,3300002I08Rik
32.78029802,-0.73338408,0.439659102,-1.668074371,0.095300964,0.175860407,3300002P09Rik,3300002P09Rik
4.653826972,0.998626153,1.187431983,0.84099651,0.40034989,0.540645824,3300005D01Rik,3300005D01Rik
158.3283851,-0.021876919,0.177351598,-0.123353381,0.901827272,0.93945275,3830403N18Rik,3830403N18Rik
9.484429466,-0.536832783,0.76120734,-0.705238579,0.480661776,0.615796079,3830408C21Rik,3830408C21Rik
1.941794201,1.115903595,1.658301772,0.672919497,0.500998508,NA,3830432H09Rik,3830432H09Rik
220.7218145,0.53367715,0.212740985,2.508577039,0.012121853,0.029885959,3930402G23Rik,3930402G23Rik
8.424184357,1.119490792,0.889496885,1.258566288,0.20818703,0.328495456,4122401K19Rik,4122401K19Rik
18.24541364,1.186044674,0.530567964,2.235424591,0.025389487,0.057436516,4632404H12Rik,4632404H12Rik
310.567966,0.127623466,0.138423644,0.921977359,0.356540386,0.496307174,4632415L05Rik,4632415L05Rik
27.78495653,-0.271151176,0.493038921,-0.549958967,0.582347518,0.704883225,4632427E13Rik,4632427E13Rik
5.81917588,1.004159229,1.066508691,0.941538721,0.346428856,0.485817006,4632428C04Rik,4632428C04Rik
15.28220419,1.453913529,0.61665386,2.357746577,0.01838624,0.043171673,4732419C18Rik,4732419C18Rik
9.53281136,0.702839196,0.740703895,0.948880114,0.34268159,0.481858023,4732440D04Rik,4732440D04Rik
12.11985305,1.349960722,0.646940077,2.086685878,0.036916539,0.079357599,4732471J01Rik,4732471J01Rik
9.786728069,1.543646318,0.765065255,2.017666215,0.043626036,0.091499638,4732491K20Rik,4732491K20Rik
3.839165415,-1.29433736,1.146856181,-1.128596053,0.259068276,0.389517456,4732496C06Rik,4732496C06Rik
7.268732305,-0.89924468,0.852318531,-1.055057057,0.291399231,0.425767331,4831440E17Rik,4831440E17Rik
19.74186328,0.509875995,0.541750414,0.941164015,0.346620814,0.485974177,4833417C18Rik,4833417C18Rik
2.160211983,2.01350366,1.724487137,1.167595639,0.24296991,0.371002086,4833418N02Rik,4833418N02Rik
353.4121049,0.358651301,0.140235339,2.557495877,0.010542881,0.026441284,4833420G17Rik,4833420G17Rik
39.89889438,0.637479363,0.387468135,1.645243325,0.099919642,0.182875159,4833438C02Rik,4833438C02Rik
6.767096163,0.150647668,0.853941019,0.176414606,0.859968231,0.912458236,4833439F03Rik,4833439F03Rik
1292.742742,-0.029084607,0.070415777,-0.413041064,0.679576528,0.783398227,4833439L19Rik,4833439L19Rik
2.735092167,5.041098358,3.773532038,1.335909781,0.181578764,0.295596881,4833447I15Rik,4833447I15Rik
4.593792492,0.081402984,1.166487366,0.069784711,0.944365016,0.967310318,4921515G04Rik,4921515G04Rik
141.6990366,-0.107908795,0.201359292,-0.535901739,0.592026462,0.713411969,4921524J17Rik,4921524J17Rik
